【Excel文件】COVID-19全球数据集（节选）.xlsx
工作表数量：1
============================================================

📊 工作表 1: Data
行数: 15088, 列数: 15
----------------------------------------
                        国家/地区             大洲     纬度      经度  年平均温度  每千人医院床位数  每千人医生数    人均GDP          人口  年龄中位数  65岁及以上人口占比         日期      每日检测数         病例数       死亡数
78                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-13      246.0       880.0      31.0
79                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-14      191.0       898.0      31.0
80                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-15      219.0       916.0      31.0
81                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-16      306.0       933.0      31.0
82                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-17      260.0       946.0      31.0
83                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-18      168.0       948.0      31.0
84                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-19      177.0       949.0      31.0
85                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-20      186.0       964.0      31.0
86                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-21      204.0       969.0      31.0
87                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-22      174.0       981.0      31.0
88                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-23      200.0       989.0      31.0
89                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-24      146.0       998.0      32.0
90                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-25       54.0      1004.0      32.0
91                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-26      173.0      1029.0      33.0
92                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-27      262.0      1050.0      33.0
93                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-28      225.0      1076.0      33.0
94                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-29      276.0      1099.0      33.0
95                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-30      229.0      1122.0      33.0
96                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-05-31      225.0      1137.0      33.0
97                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-01      102.0      1143.0      33.0
98                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-02      243.0      1164.0      33.0
99                    Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-03      297.0      1184.0      33.0
100                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-04      282.0      1197.0      33.0
101                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-05      162.0      1212.0      33.0
102                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-06      253.0      1232.0      34.0
103                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-07      193.0      1246.0      34.0
104                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-08      102.0      1263.0      34.0
105                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-09      359.0      1299.0      34.0
106                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-10      311.0      1341.0      34.0
107                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-11      291.0      1385.0      35.0
108                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-12      300.0      1416.0      36.0
109                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-13      270.0      1464.0      36.0
110                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-14      362.0      1521.0      36.0
111                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-15      319.0      1590.0      36.0
112                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-16      364.0      1672.0      37.0
113                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-17      333.0      1722.0      38.0
114                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-18      280.0      1788.0      39.0
115                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-19      330.0      1838.0      42.0
116                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-20      320.0      1891.0      43.0
117                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-21      327.0      1962.0      44.0
118                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-22      239.0      1995.0      44.0
119                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-23      328.0      2047.0      45.0
120                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-24      347.0      2114.0      47.0
121                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-25      344.0      2192.0      49.0
122                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-26      402.0      2269.0      51.0
123                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-27      355.0      2330.0      53.0
124                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-28      374.0      2402.0      55.0
125                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-29      371.0      2466.0      58.0
126                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-06-30      371.0      2535.0      62.0
127                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-01      269.0      2580.0      65.0
128                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-02      368.0      2662.0      69.0
129                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-03      362.0      2752.0      72.0
130                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-04      376.0      2819.0      74.0
131                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-05      392.0      2893.0      76.0
132                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-06      459.0      2964.0      79.0
133                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-07      409.0      3038.0      81.0
134                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-08      397.0      3106.0      83.0
135                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-09      401.0      3188.0      83.0
136                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-10      420.0      3278.0      85.0
137                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-11      420.0      3371.0      89.0
138                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-12      420.0      3454.0      93.0
139                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-13      585.0      3571.0      95.0
140                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-14      451.0      3667.0      97.0
141                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-15      361.0      3752.0     101.0
142                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-16      425.0      3851.0     104.0
143                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-17      431.0      3906.0     107.0
144                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-18      501.0      4008.0     111.0
145                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-19      331.0      4090.0     112.0
146                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-20      267.0      4171.0     113.0
147                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-21      482.0      4290.0     117.0
148                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-22      496.0      4358.0     120.0
149                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-23      477.0      4466.0     123.0
150                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-24      564.0      4570.0     128.0
151                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-25      304.0      4637.0     134.0
152                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-26      504.0      4763.0     138.0
153                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-27      500.0      4880.0     144.0
154                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-28      507.0      4997.0     148.0
155                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-29      502.0      5105.0     150.0
156                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-30      507.0      5197.0     154.0
157                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-07-31      500.0      5276.0     157.0
158                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-01      510.0      5396.0     161.0
159                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-02      474.0      5519.0     166.0
160                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-03      474.0      5620.0     172.0
161                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-04      546.0      5750.0     176.0
162                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-05      561.0      5889.0     182.0
163                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-06      531.0      6016.0     188.0
164                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-07      586.0      6151.0     189.0
165                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-08      500.0      6275.0     193.0
166                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-09      561.0      6411.0     199.0
167                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-10      506.0      6536.0     200.0
168                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-11      603.0      6676.0     205.0
169                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-12      625.0      6817.0     208.0
170                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-13      643.0      6971.0     213.0
171                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-14      639.0      7117.0     219.0
172                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-15      650.0      7260.0     225.0
173                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-16      626.0      7380.0     228.0
174                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-17      501.0      7499.0     230.0
175                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-18      932.0      7654.0     232.0
176                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-19      864.0      7812.0     234.0
177                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-20      847.0      7967.0     238.0
178                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-21      864.0      8119.0     240.0
179                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-22      837.0      8275.0     245.0
180                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-23      785.0      8427.0     250.0
181                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-24      947.0      8605.0     254.0
182                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-25      870.0      8759.0     259.0
183                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-26      878.0      8927.0     263.0
184                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-27      865.0      9083.0     266.0
185                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-28      801.0      9195.0     271.0
186                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-29      796.0      9279.0     275.0
187                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-30      803.0      9380.0     280.0
188                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-08-31      820.0      9513.0     284.0
189                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-01      812.0      9606.0     290.0
190                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-02      856.0      9728.0     296.0
191                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-03      835.0      9844.0     301.0
192                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-04      857.0      9967.0     306.0
193                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-05      860.0     10102.0     312.0
194                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-06      847.0     10255.0     316.0
195                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-07      824.0     10406.0     319.0
196                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-08      830.0     10553.0     321.0
197                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-09      852.0     10704.0     322.0
198                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-10      870.0     10860.0     324.0
199                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-11      875.0     11021.0     327.0
200                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-12      872.0     11185.0     330.0
201                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-13      877.0     11353.0     334.0
202                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-14      862.0     11520.0     338.0
203                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-15      810.0     11672.0     340.0
